Category,Metric,Value,Context,Source
Market Size,Total Households,170000,Santa Barbara County,Census Data
Market Size,Insurable Households (est),145000,85% of total households,Lead Research
Demographics,Median Home Value,$750000,50% above CA average,Lead Research
Demographics,Median Household Income,$85000,High-value market,Lead Research
Demographics,Homeownership Rate,58%,Slightly below CA average,Lead Research
Market Conditions,Premium Cost vs Average,+50%,Significantly higher than typical markets,Lead Research
Market Conditions,Competition Level,High,Multiple captive and independent agencies,Lead Research
Market Conditions,Allstate Market Share,Unknown,Need to research local presence,Lead Research
Lead Generation,Recommended Monthly Budget - Minimum,$1000,40-200 leads depending on type,Lead Research
Lead Generation,Recommended Monthly Budget - Growth,$5000,125-1000 leads depending on type,Lead Research
Lead Generation,Recommended Monthly Budget - Aggressive,$10000,250-2000 leads depending on type,Lead Research
Lead Generation,Shared Lead Cost Range,$15-45,Per lead - varies by vendor,Lead Research
Lead Generation,Exclusive Lead Cost Range,$50-200,Per lead - premium pricing,Lead Research
Lead Generation,Live Transfer Cost Range,$40-100,Per transfer - highest conversion,Lead Research
Opportunity,Single Policy Customer %,61%,Massive cross-sell opportunity,Product Mix Analysis
Opportunity,Auto-Only Customers,High percentage,Prime target for home bundling,Product Mix Analysis
Opportunity,High-Value Homes,Significant,Umbrella and excess liability opportunity,Market Demographics
Strategy,Primary Focus,Bundle Conversion,Move single product to multi-product,Strategic Priority
Strategy,Secondary Focus,Premium Products,Life and umbrella for affluent market,Strategic Priority
Strategy,Retention Focus,Protect Bundles,95%+ retention on bundled customers,Strategic Priority
